Official Election Results
Solano
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"35005 - BT-1","STATE PROPOSITION 50","YES","563","47.37%"
"35005 - BT-1","STATE PROPOSITION 50","NO","265","47.37%"
"35035 - BT-1","STATE PROPOSITION 50","YES","1022","43.53%"
"35035 - BT-1","STATE PROPOSITION 50","NO","392","43.53%"
"35042 - BT-1","STATE PROPOSITION 50","YES","1052","55.62%"
"35042 - BT-1","STATE PROPOSITION 50","NO","357","55.62%"
"35050 - BT-1","STATE PROPOSITION 50","YES","1282","42.06%"
"35050 - BT-1","STATE PROPOSITION 50","NO","501","42.06%"
"35090 - BT-1","STATE PROPOSITION 50","YES","826","62.07%"
"35090 - BT-1","STATE PROPOSITION 50","NO","453","62.07%"
"35105 - BT-1","STATE PROPOSITION 50","YES","225","24.27%"
"35105 - BT-1","STATE PROPOSITION 50","NO","123","24.27%"
"39250 - BT-1","STATE PROPOSITION 50","NO","156","56.18%"
"39250 - BT-1","STATE PROPOSITION 50","YES","103","56.18%"
"39400 - BT-1","STATE PROPOSITION 50","NO","57","69.54%"
"39400 - BT-1","STATE PROPOSITION 50","YES","46","69.54%"
"39405 - BT-1","STATE PROPOSITION 50","NO","281","61.28%"
"39405 - BT-1","STATE PROPOSITION 50","YES","178","61.28%"
"39448 - BT-1","STATE PROPOSITION 50","YES","5","600.00%"
"39448 - BT-1","STATE PROPOSITION 50","NO","1","600.00%"
"39451 - BT-1","STATE PROPOSITION 50","YES","9","60.87%"
"39451 - BT-1","STATE PROPOSITION 50","NO","5","60.87%"
"39462 - BT-1","STATE PROPOSITION 50","NO","5","61.54%"
"39462 - BT-1","STATE PROPOSITION 50","YES","3","61.54%"
"39464 - BT-1","STATE PROPOSITION 50","YES","3","200.00%"
"39464 - BT-1","STATE PROPOSITION 50","NO","1","200.00%"
"39470 - BT-1","STATE PROPOSITION 50","NO","18","60.00%"
"39470 - BT-1","STATE PROPOSITION 50","YES","9","60.00%"
"42010 - BT-1","STATE PROPOSITION 50","NO","1016","56.21%"
"42010 - BT-1","STATE PROPOSITION 50","YES","971","56.21%"
"42025 - BT-1","STATE PROPOSITION 50","YES","928","56.73%"
"42025 - BT-1","STATE PROPOSITION 50","NO","859","56.73%"
"42065 - BT-1","STATE PROPOSITION 50","NO","846","51.54%"
"42065 - BT-1","STATE PROPOSITION 50","YES","779","51.54%"
"42070 - BT-1","STATE PROPOSITION 50","YES","565","46.74%"
"42070 - BT-1","STATE PROPOSITION 50","NO","443","46.74%"
"42250 - BT-1","STATE PROPOSITION 50","NO","568","55.97%"
"42250 - BT-1","STATE PROPOSITION 50","YES","504","55.97%"
"46010 - BT-1","STATE PROPOSITION 50","NO","538","68.93%"
"46010 - BT-1","STATE PROPOSITION 50","YES","444","68.93%"
"46020 - BT-1","STATE PROPOSITION 50","NO","497","61.00%"
"46020 - BT-1","STATE PROPOSITION 50","YES","396","61.00%"
"46035 - BT-1","STATE PROPOSITION 50","NO","313","53.94%"
"46035 - BT-1","STATE PROPOSITION 50","YES","283","53.94%"
"46037 - BT-1","STATE PROPOSITION 50","NO","607","55.21%"
"46037 - BT-1","STATE PROPOSITION 50","YES","585","55.21%"
"46055 - BT-1","STATE PROPOSITION 50","YES","581","58.18%"
"46055 - BT-1","STATE PROPOSITION 50","NO","554","58.18%"
"46080 - BT-1","STATE PROPOSITION 50","YES","498","59.11%"
"46080 - BT-1","STATE PROPOSITION 50","NO","462","59.11%"
"46120 - BT-1","STATE PROPOSITION 50","YES","383","35.49%"
"46120 - BT-1","STATE PROPOSITION 50","NO","204","35.49%"
"46130 - BT-1","STATE PROPOSITION 50","NO","906","64.80%"
"46130 - BT-1","STATE PROPOSITION 50","YES","757","64.80%"
"46150 - BT-1","STATE PROPOSITION 50","NO","822","57.59%"
"46150 - BT-1","STATE PROPOSITION 50","YES","714","57.59%"
"46165 - BT-1","STATE PROPOSITION 50","NO","581","59.00%"
"46165 - BT-1","STATE PROPOSITION 50","YES","460","59.00%"
"46180 - BT-1","STATE PROPOSITION 50","YES","646","46.22%"
"46180 - BT-1","STATE PROPOSITION 50","NO","484","46.22%"
"46193 - BT-1","STATE PROPOSITION 50","YES","595","54.04%"
"46193 - BT-1","STATE PROPOSITION 50","NO","535","54.04%"
"46212 - BT-1","STATE PROPOSITION 50","YES","363","48.94%"
"46212 - BT-1","STATE PROPOSITION 50","NO","283","48.94%"
"46270 - BT-1","STATE PROPOSITION 50","YES","1097","47.08%"
"46270 - BT-1","STATE PROPOSITION 50","NO","806","47.08%"
