ELECTIONABBR	PRECINCTID	PRECINCTPORTION	VOTINGPRECINCT	MAILBALLOT	ABSENTEEPRECINCT	BALLOTTYPE
2025Nov   	51058  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51059  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51060  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51061  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51062  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51063  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51064  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51065  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51066  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51067  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51068  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51069  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51070  		1504    1504 - Hanford 1	0	8001504	1
2025Nov   	51071  		1504    1504 - Hanford 1	0	8001504	1
2025Nov   	51072  		1504    1504 - Hanford 1	0	8001504	1
2025Nov   	51073  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51075  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51076  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51077  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51078  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51079  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51080  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51081  		1505    1505 - Hanford 1	0	8001505	1
2025Nov   	51082  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51083  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51084  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51085  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51086  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51087  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51088  		1504    1504 - Hanford 1	0	8001504	1
2025Nov   	51089  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51090  		1506    1506 - Hanford 1	0	8001506	1
2025Nov   	51091  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51092  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51093  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51094  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51096  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51097  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51098  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51099  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51100  		1503    1503 - Hanford 1	0	8001503	1
2025Nov   	51101  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51102  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51103  		1508    1508 - Hanford 1	0	8001508	1
2025Nov   	51104  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51105  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51106  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	51107  		1507    1507 - Hanford 1	0	8001507	1
2025Nov   	59001  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59002  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59003  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59004  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59005  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59006  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59007  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59008  		1501    1501 - Hanford 1	0	8001501	1
