"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"19","0750060A","62","44","30","3","3568","0","0","0","0","0","0","0","0","0","1214","0","0","0","0","0","0","0","0","0","0","0","239","975"
"19","0750076A","62","44","30","3","4694","0","0","0","0","0","0","0","0","0","1822","0","0","0","0","0","0","0","0","0","0","0","468","1351"
"19","0800001A","64","42","33","3","2504","0","0","0","0","0","0","0","0","0","865","0","0","0","0","0","0","0","0","0","0","0","101","764"
"19","0800003A","64","42","33","3","3334","0","0","0","0","0","0","0","0","0","1170","0","0","0","0","0","0","0","0","0","0","0","149","1018"
"19","0800005A","64","42","33","3","3773","0","0","0","0","0","0","0","0","0","1278","0","0","0","0","0","0","0","0","0","0","0","129","1148"
"19","0800007A","64","42","33","3","3511","0","0","0","0","0","0","0","0","0","1269","0","0","0","0","0","0","0","0","0","0","0","157","1110"
"19","0800017B","64","42","33","3","3707","0","0","0","0","0","0","0","0","0","1309","0","0","0","0","0","0","0","0","0","0","0","142","1167"
"19","0850005A","52","34","26","3","3538","0","0","0","0","0","0","0","0","0","1477","0","0","0","0","0","0","0","0","0","0","0","152","1324"
"19","0850009A","52","34","26","3","3770","0","0","0","0","0","0","0","0","0","1294","0","0","0","0","0","0","0","0","0","0","0","121","1172"
"19","0850013A","52","34","26","3","1868","0","0","0","0","0","0","0","0","0","717","0","0","0","0","0","0","0","0","0","0","0","69","646"
"19","0850014A","52","34","26","3","2859","0","0","0","0","0","0","0","0","0","1127","0","0","0","0","0","0","0","0","0","0","0","139","987"
"19","0850017A","52","34","26","3","3504","0","0","0","0","0","0","0","0","0","1402","0","0","0","0","0","0","0","0","0","0","0","158","1243"
"19","0850052A","52","34","26","3","1628","0","0","0","0","0","0","0","0","0","611","0","0","0","0","0","0","0","0","0","0","0","55","554"
"19","0850058A","52","34","26","3","3665","0","0","0","0","0","0","0","0","0","1399","0","0","0","0","0","0","0","0","0","0","0","174","1224"
"19","0900009A","51","36","24","3","4616","0","0","0","0","0","0","0","0","0","2321","0","0","0","0","0","0","0","0","0","0","0","1250","1065"
"19","0900010A","51","36","24","3","3885","0","0","0","0","0","0","0","0","0","2108","0","0","0","0","0","0","0","0","0","0","0","1461","645"
"19","0900026A","51","36","24","3","5324","0","0","0","0","0","0","0","0","0","2665","0","0","0","0","0","0","0","0","0","0","0","1016","1647"
"19","0900030A","51","36","24","3","4573","0","0","0","0","0","0","0","0","0","1949","0","0","0","0","0","0","0","0","0","0","0","824","1122"
"19","0900046A","51","36","24","3","4328","0","0","0","0","0","0","0","0","0","1947","0","0","0","0","0","0","0","0","0","0","0","810","1134"
"19","0930001A","69","42","33","3","1136","0","0","0","0","0","0","0","0","0","693","0","0","0","0","0","0","0","0","0","0","0","284","408"
"19","0940005A","41","31","22","3","630","0","0","0","0","0","0","0","0","0","321","0","0","0","0","0","0","0","0","0","0","0","167","154"
"19","0950001A","44","30","20","3","5266","0","0","0","0","0","0","0","0","0","2482","0","0","0","0","0","0","0","0","0","0","0","861","1620"
"19","0950012A","44","30","20","3","5257","0","0","0","0","0","0","0","0","0","3011","0","0","0","0","0","0","0","0","0","0","0","664","2347"
"19","0950018A","44","30","20","3","5392","0","0","0","0","0","0","0","0","0","2669","0","0","0","0","0","0","0","0","0","0","0","674","1993"
"19","0950029A","44","30","20","3","5137","0","0","0","0","0","0","0","0","0","2402","0","0","0","0","0","0","0","0","0","0","0","754","1648"
"19","0950045A","44","30","20","3","5104","0","0","0","0","0","0","0","0","0","3002","0","0","0","0","0","0","0","0","0","0","0","772","2229"
"19","0950053A","44","30","20","3","5582","0","0","0","0","0","0","0","0","0","3346","0","0","0","0","0","0","0","0","0","0","0","849","2494"
"19","0950138B","44","30","20","3","5418","0","0","0","0","0","0","0","0","0","2708","0","0","0","0","0","0","0","0","0","0","0","770","1933"
"19","0950141B","44","30","20","3","3069","0","0","0","0","0","0","0","0","0","1563","0","0","0","0","0","0","0","0","0","0","0","770","793"
"19","0950150A","44","30","20","3","5382","0","0","0","0","0","0","0","0","0","2362","0","0","0","0","0","0","0","0","0","0","0","850","1511"
"19","0950156A","44","30","20","3","5804","0","0","0","0","0","0","0","0","0","2621","0","0","0","0","0","0","0","0","0","0","0","626","1991"
"19","0950168A","44","30","20","3","5322","0","0","0","0","0","0","0","0","0","2372","0","0","0","0","0","0","0","0","0","0","0","487","1884"
