OFFICIAL ELECTION RESULTS
Imperial
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"586008","PROPOSITION 50","NO","28","19.41%"
"586009MB","PROPOSITION 50","NO","6","100.00%"
"586009MB","PROPOSITION 50","YES","1","100.00%"
"586010MB","PROPOSITION 50","YES","17","16.57%"
"586010MB","PROPOSITION 50","NO","11","16.57%"
"586011MB","PROPOSITION 50","YES","3","38.46%"
"586011MB","PROPOSITION 50","NO","2","38.46%"
"586032MB","PROPOSITION 50","NO","10","40.74%"
"586032MB","PROPOSITION 50","YES","1","40.74%"
"586033MB","PROPOSITION 50","YES","0","0.00%"
"586033MB","PROPOSITION 50","NO","0","0.00%"
"586037MB","PROPOSITION 50","NO","22","35.29%"
"586037MB","PROPOSITION 50","YES","8","35.29%"
"586065MB","PROPOSITION 50","NO","2","50.00%"
"586065MB","PROPOSITION 50","YES","0","50.00%"
"586066MB","PROPOSITION 50","YES","0","0.00%"
"586066MB","PROPOSITION 50","NO","0","0.00%"
"586201MB","PROPOSITION 50","YES","3","50.00%"
"586201MB","PROPOSITION 50","NO","0","50.00%"
"586213MB","PROPOSITION 50","YES","2","50.00%"
"586213MB","PROPOSITION 50","NO","0","50.00%"
"586214MB","PROPOSITION 50","YES","0","0.00%"
"586214MB","PROPOSITION 50","NO","0","0.00%"
"586248MB","PROPOSITION 50","YES","0","0.00%"
"586248MB","PROPOSITION 50","NO","0","0.00%"
"586249MB","PROPOSITION 50","YES","0","0.00%"
"586249MB","PROPOSITION 50","NO","0","0.00%"
"587234MB","PROPOSITION 50","YES","11","50.00%"
"587234MB","PROPOSITION 50","NO","5","50.00%"
"587235MB","PROPOSITION 50","NO","30","52.33%"
"587235MB","PROPOSITION 50","YES","15","52.33%"
"588208MB","PROPOSITION 50","YES","0","0.00%"
"588208MB","PROPOSITION 50","NO","0","0.00%"
"588214MB","PROPOSITION 50","YES","21","38.96%"
"588214MB","PROPOSITION 50","NO","9","38.96%"
"588215MB","PROPOSITION 50","NO","11","15.31%"
"588215MB","PROPOSITION 50","YES","4","15.31%"
"588252MB","PROPOSITION 50","NO","1","20.00%"
"588252MB","PROPOSITION 50","YES","0","20.00%"
"588257MB","PROPOSITION 50","YES","0","0.00%"
"588257MB","PROPOSITION 50","NO","0","0.00%"
"588258MB","PROPOSITION 50","YES","0","0.00%"
"588258MB","PROPOSITION 50","NO","0","0.00%"
"588259MB","PROPOSITION 50","NO","2","50.00%"
"588259MB","PROPOSITION 50","YES","1","50.00%"
"588260MB","PROPOSITION 50","YES","119","30.17%"
"588260MB","PROPOSITION 50","NO","58","30.17%"
"588262MB","PROPOSITION 50","YES","0","0.00%"
"588262MB","PROPOSITION 50","NO","0","0.00%"
"588263MB","PROPOSITION 50","NO","5","25.00%"
"588263MB","PROPOSITION 50","YES","1","25.00%"
"588264MB","PROPOSITION 50","YES","0","0.00%"
"588264MB","PROPOSITION 50","NO","0","0.00%"
"588270MB","PROPOSITION 50","NO","17","24.79%"
"588270MB","PROPOSITION 50","YES","12","24.79%"
