OFFICIAL ELECTION RESULTS
Imperial
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"385004MB","PROPOSITION 50","NO","0","0.00%"
"385005MB","PROPOSITION 50","YES","18","56.90%"
"385005MB","PROPOSITION 50","NO","15","56.90%"
"385009MB","PROPOSITION 50","NO","10","50.00%"
"385009MB","PROPOSITION 50","YES","1","50.00%"
"385010MB","PROPOSITION 50","YES","0","0.00%"
"385010MB","PROPOSITION 50","NO","0","0.00%"
"385012MB","PROPOSITION 50","YES","0","0.00%"
"385012MB","PROPOSITION 50","NO","0","0.00%"
"385013MB","PROPOSITION 50","YES","5","69.23%"
"385013MB","PROPOSITION 50","NO","4","69.23%"
"385014MB","PROPOSITION 50","NO","362","46.97%"
"385014MB","PROPOSITION 50","YES","233","46.97%"
"385015MB","PROPOSITION 50","YES","3","26.32%"
"385015MB","PROPOSITION 50","NO","2","26.32%"
"385016MB","PROPOSITION 50","YES","0","0.00%"
"385016MB","PROPOSITION 50","NO","0","0.00%"
"385017MB","PROPOSITION 50","NO","23","63.33%"
"385017MB","PROPOSITION 50","YES","15","63.33%"
"385019MB","PROPOSITION 50","YES","0","0.00%"
"385019MB","PROPOSITION 50","NO","0","0.00%"
"385020MB","PROPOSITION 50","YES","0","0.00%"
"385020MB","PROPOSITION 50","NO","0","0.00%"
"385021MB","PROPOSITION 50","YES","2","50.00%"
"385021MB","PROPOSITION 50","NO","0","50.00%"
"385024MB","PROPOSITION 50","NO","15","43.94%"
"385024MB","PROPOSITION 50","YES","14","43.94%"
"385036MB","PROPOSITION 50","NO","3","150.00%"
"385036MB","PROPOSITION 50","YES","0","150.00%"
"385044MB","PROPOSITION 50","YES","2","66.67%"
"385044MB","PROPOSITION 50","NO","2","66.67%"
"385045MB","PROPOSITION 50","YES","1","50.00%"
"385045MB","PROPOSITION 50","NO","0","50.00%"
"385046MB","PROPOSITION 50","NO","10","63.64%"
"385046MB","PROPOSITION 50","YES","4","63.64%"
"385047MB","PROPOSITION 50","YES","0","0.00%"
"385047MB","PROPOSITION 50","NO","0","0.00%"
"385048MB","PROPOSITION 50","YES","0","0.00%"
"385048MB","PROPOSITION 50","NO","0","0.00%"
"385049MB","PROPOSITION 50","YES","0","0.00%"
"385049MB","PROPOSITION 50","NO","0","0.00%"
"385050MB","PROPOSITION 50","YES","0","0.00%"
"385050MB","PROPOSITION 50","NO","0","0.00%"
"385051MB","PROPOSITION 50","YES","0","0.00%"
"385051MB","PROPOSITION 50","NO","0","0.00%"
"385052MB","PROPOSITION 50","YES","0","0.00%"
"385052MB","PROPOSITION 50","NO","0","0.00%"
"387206MB","PROPOSITION 50","NO","55","60.38%"
"387206MB","PROPOSITION 50","YES","9","60.38%"
"387210MB","PROPOSITION 50","NO","27","48.48%"
"387210MB","PROPOSITION 50","YES","5","48.48%"
"387213MB","PROPOSITION 50","YES","0","0.00%"
"387213MB","PROPOSITION 50","NO","0","0.00%"
"387245MB","PROPOSITION 50","NO","25","55.13%"
"387245MB","PROPOSITION 50","YES","18","55.13%"
"387246MB","PROPOSITION 50","NO","42","47.76%"
"387246MB","PROPOSITION 50","YES","22","47.76%"
"389207MB","PROPOSITION 50","NO","57","34.02%"
"389207MB","PROPOSITION 50","YES","25","34.02%"
"389208","PROPOSITION 50","YES","155","31.16%"
"389208","PROPOSITION 50","NO","98","31.16%"
"389224MB","PROPOSITION 50","YES","0","0.00%"
"389224MB","PROPOSITION 50","NO","0","0.00%"
"389225MB","PROPOSITION 50","NO","26","50.00%"
"389225MB","PROPOSITION 50","YES","13","50.00%"
"389227MB","PROPOSITION 50","YES","2","17.65%"
"389227MB","PROPOSITION 50","NO","1","17.65%"
"389228MB","PROPOSITION 50","YES","0","0.00%"
